,CustomerId,Recency,Frequency,Monetary,Cluster,R_Score,F_Score,M_Score,RFM_Score,Segment,Churned
88,12472,5,13,11308.48,0,5,5,5,555,Champions,False
89,12474,14,13,5048.66,0,5,5,5,555,Champions,False
90,12475,45,1,426.26,0,3,1,2,312,Promising,False
91,12476,32,12,7267.49,0,4,5,5,455,Champions,False
92,12477,35,3,7056.63,0,4,3,5,435,Potential Loyalists,False
93,12480,35,3,2183.2200000000003,0,4,3,5,435,Potential Loyalists,False
94,12481,1,6,6765.07,0,5,4,5,545,Champions,False
95,12482,212,29,23691.4,3,1,5,5,155,At Risk,True
96,12483,14,11,2612.2000000000003,0,5,5,5,555,Champions,False
97,12484,119,6,1826.78,0,2,4,4,244,At Risk,True
98,12485,165,1,708.1,1,2,1,3,213,Others,True
99,12486,67,1,1037.28,0,3,1,4,314,Promising,False
100,12487,366,1,285.29999999999995,1,1,1,2,112,Hibernating,True
101,12490,14,11,4405.71,0,5,5,5,555,Champions,False
102,12492,39,1,452.0,0,3,1,2,312,Promising,False
103,12494,1,3,626.77,0,5,3,3,533,Potential Loyalists,False
104,12495,276,1,357.4,1,1,1,2,112,Hibernating,True
105,12496,256,2,45.34,1,1,2,1,121,Hibernating,True
106,12497,36,2,5205.400000000001,0,4,2,5,425,Potential Loyalists,False
107,12499,196,1,393.72,1,1,1,2,112,Hibernating,True
108,12500,71,8,1697.39,0,3,5,4,354,Loyal Customers,False
109,12503,220,1,1126.0,1,1,1,4,114,Others,True
110,12504,53,2,297.0,0,3,2,2,322,Potential Loyalists,False
111,12505,44,1,955.2,0,3,1,3,313,Promising,False
112,12507,220,1,539.25,1,1,1,3,113,Others,True
113,12510,95,7,4195.45,0,2,5,5,255,At Risk,True
114,12511,64,1,3084.02,0,3,1,5,315,Promising,False
115,12514,277,1,580.08,1,1,1,3,113,Others,True
116,12516,66,2,1336.56,0,3,2,4,324,Potential Loyalists,False
117,12519,112,1,385.7,0,2,1,2,212,Hibernating,True
118,12523,10,12,2562.58,0,5,5,5,555,Champions,False
119,12524,24,9,6640.39,0,4,5,5,455,Champions,False
120,12525,134,3,973.73,0,2,3,3,233,At Risk,True
121,12527,130,2,386.8,0,2,2,2,222,At Risk,True
122,12529,164,1,316.48,1,2,1,2,212,Hibernating,True
123,12530,51,5,2096.98,0,3,4,4,344,Loyal Customers,False
124,12531,322,1,1807.98,1,1,1,4,114,Others,True
125,12533,263,2,1367.89,1,1,2,4,124,At Risk,True
126,12537,44,1,732.94,0,3,1,3,313,Promising,False
127,12538,14,1,276.5,0,5,1,2,512,Recent Customers,False
128,12539,86,3,5646.400000000001,0,2,3,5,235,At Risk,False
129,12540,14,16,8854.25,0,5,5,5,555,Champions,False
130,12542,120,2,481.88,0,2,2,2,222,At Risk,True
131,12543,84,1,980.25,0,2,1,3,213,Others,False
132,12547,136,1,175.78,0,2,1,1,211,Hibernating,True
133,12549,211,6,1575.68,1,1,4,4,144,At Risk,True
134,12553,21,2,916.47,0,4,2,3,423,Potential Loyalists,False
135,12554,84,1,468.5,0,2,1,2,212,Hibernating,False
136,12555,318,1,129.23,1,1,1,1,111,Hibernating,True
137,12557,7,4,6725.18,0,5,4,5,545,Champions,False
138,12562,21,2,1185.18,0,4,2,4,424,Potential Loyalists,False
139,12563,44,1,249.24,0,3,1,1,311,Promising,False
140,12567,3,7,4308.58,0,5,5,5,555,Champions,False
141,12568,280,1,70.0,1,1,1,1,111,Hibernating,True
142,12570,318,1,77.52,1,1,1,1,111,Hibernating,True
143,12573,17,4,556.87,0,4,4,3,443,Loyal Customers,False
144,12575,93,2,622.8199999999999,0,2,2,3,223,At Risk,True
145,12576,28,3,826.89,0,4,3,3,433,Potential Loyalists,False
146,12577,17,5,990.5,0,4,4,4,444,Champions,False
147,12578,21,2,1847.94,0,4,2,4,424,Potential Loyalists,False
148,12580,212,1,637.2,1,1,1,3,113,Others,True
149,12582,58,2,1469.04,0,3,2,4,324,Potential Loyalists,False
150,12583,9,13,7166.0599999999995,0,5,5,5,555,Champions,False
151,12586,10,3,1865.73,0,5,3,4,534,Potential Loyalists,False
152,12588,35,3,743.88,0,4,3,3,433,Potential Loyalists,False
153,12589,57,6,4048.98,0,3,4,5,345,Loyal Customers,False
154,12591,26,2,886.1,0,4,2,3,423,Potential Loyalists,False
155,12592,155,3,2145.06,1,2,3,5,235,At Risk,True
156,12594,14,5,1751.89,0,5,4,4,544,Champions,False
157,12595,140,1,299.02,1,2,1,2,212,Hibernating,True
158,12598,99,3,1511.01,0,2,3,4,234,At Risk,True
159,12599,17,6,1264.14,0,4,4,4,444,Champions,False
160,12600,7,12,2444.88,0,5,5,5,555,Champions,False
161,12601,40,1,104.19999999999999,0,3,1,1,311,Promising,False
162,12605,12,4,1232.95,0,5,4,4,544,Champions,False
163,12606,318,1,21.0,1,1,1,1,111,Hibernating,True
164,12608,40,1,415.79,0,3,1,2,312,Promising,False
165,12609,10,6,2309.01,0,5,4,5,545,Champions,False
166,12613,24,5,3472.9900000000002,0,4,4,5,445,Champions,False
167,12615,49,4,3449.79,0,3,4,5,345,Loyal Customers,False
168,12616,24,1,417.8,0,4,1,2,412,Recent Customers,False
169,12619,196,1,140.14,1,1,1,1,111,Hibernating,True
170,12621,1,16,11086.14,0,5,5,5,555,Champions,False
171,12623,52,6,3442.7400000000002,0,3,4,5,345,Loyal Customers,False
172,12625,145,2,2481.06,1,2,2,5,225,At Risk,True
173,12629,21,2,1558.22,0,4,2,4,424,Potential Loyalists,False
174,12631,92,5,2841.07,0,2,4,5,245,At Risk,True
175,12632,156,2,804.88,1,2,2,3,223,At Risk,True
176,12633,18,3,3514.18,0,4,3,5,435,Potential Loyalists,False
177,12634,171,2,490.0,1,2,2,2,222,At Risk,True
178,12635,28,2,1241.23,0,4,2,4,424,Potential Loyalists,False
179,12636,374,1,141.0,1,1,1,1,111,Hibernating,True
180,12637,14,4,2280.91,0,5,4,5,545,Champions,False
181,12638,275,1,249.8,1,1,1,1,111,Hibernating,True
182,12639,70,2,826.27,0,3,2,3,323,Potential Loyalists,False
183,12643,21,6,4960.18,0,4,4,5,445,Champions,False
184,12644,66,3,1440.58,0,3,3,4,334,Potential Loyalists,False
185,12645,45,4,1764.12,0,3,4,4,344,Loyal Customers,False
186,12647,3,27,14201.53,3,5,5,5,555,Champions,False
187,12648,73,3,793.95,0,2,3,3,233,At Risk,False
188,12649,18,5,1671.1399999999999,0,4,4,4,444,Champions,False
189,12651,14,3,263.75,0,5,3,2,532,Potential Loyalists,False
190,12652,70,1,97.05000000000001,0,3,1,1,311,Promising,False
191,12653,162,1,1950.98,1,2,1,4,214,Others,True
192,12655,59,1,261.35,0,3,1,2,312,Promising,False
193,12656,61,3,2356.66,0,3,3,5,335,Potential Loyalists,False
194,12661,72,1,162.0,0,2,1,1,211,Hibernating,False
195,12662,9,10,3138.2400000000002,0,5,5,5,555,Champions,False
196,12663,260,2,239.4,1,1,2,1,121,Hibernating,True
197,12664,150,2,1188.16,1,2,2,4,224,At Risk,True
198,12665,53,2,250.6,0,3,2,1,321,Potential Loyalists,False
199,12666,30,1,1248.42,0,4,1,4,414,Recent Customers,False
200,12668,14,6,7575.88,0,5,4,5,545,Champions,False
201,12670,21,2,764.24,0,4,2,3,423,Potential Loyalists,False
202,12671,242,1,2622.481,1,1,1,5,115,Others,True
203,12672,231,1,211.15,1,1,1,1,111,Hibernating,True
204,12673,37,1,619.5,0,3,1,3,313,Promising,False
205,12675,189,2,957.25,1,1,2,3,123,At Risk,True
206,12676,44,5,1511.7,0,3,4,4,344,Loyal Customers,False
207,12677,191,2,395.1,1,1,2,2,122,At Risk,True
208,12678,11,9,16652.72,0,5,5,5,555,Champions,False
209,12681,3,24,17080.74,0,5,5,5,555,Champions,False
210,12682,1,23,11745.69,0,5,5,5,555,Champions,False
211,12683,1,8,4220.21,0,5,5,5,555,Champions,False
212,12686,7,1,89.14,0,5,1,1,511,Recent Customers,False
213,12687,116,2,2138.91,0,2,2,4,224,At Risk,True
214,12691,56,1,134.6,0,3,1,1,311,Promising,False
215,12692,273,1,110.95,1,1,1,1,111,Hibernating,True
216,12693,32,3,847.11,0,4,3,3,433,Potential Loyalists,False
217,12694,57,1,973.68,0,3,1,3,313,Promising,False
218,12695,164,3,825.02,1,2,3,3,233,At Risk,True
219,12696,70,2,851.91,0,3,2,3,323,Potential Loyalists,False
220,12698,226,1,339.75,1,1,1,2,112,Hibernating,True
221,12699,53,1,638.11,0,3,1,3,313,Promising,False
222,12701,165,4,1648.7,1,2,4,4,244,At Risk,True
223,12703,269,3,722.98,1,1,3,3,133,At Risk,True
224,12705,19,5,4893.81,0,4,4,5,445,Champions,False
225,12708,4,9,2601.19,0,5,5,5,555,Champions,False
226,12709,2,20,21107.94,0,5,5,5,555,Champions,False
227,12711,247,2,1339.05,1,1,2,4,124,At Risk,True
228,12712,1,10,2797.53,0,5,5,5,555,Champions,False
229,12714,24,7,9384.85,0,4,5,5,455,Champions,False
230,12717,226,1,277.93,1,1,1,2,112,Hibernating,True
231,12720,5,6,2478.94,0,5,4,5,545,Champions,False
232,12721,21,2,1356.95,0,4,2,4,424,Potential Loyalists,False
233,12724,19,3,1286.11,0,4,3,4,434,Potential Loyalists,False
234,12725,7,4,2266.76,0,5,4,5,545,Champions,False
235,12726,23,4,1405.5,0,4,4,4,444,Champions,False
236,12727,78,3,1698.8300000000002,0,2,3,4,234,At Risk,False
237,12728,19,1,233.84,0,4,1,1,411,Recent Customers,False
238,12730,157,1,829.25,1,2,1,3,213,Others,True
239,12731,78,5,6879.8,0,2,4,5,245,At Risk,False
240,12733,25,3,2040.92,0,4,3,4,434,Potential Loyalists,False
241,12734,10,2,529.25,0,5,2,3,523,Potential Loyalists,False
242,12737,134,2,3710.5,0,2,2,5,225,At Risk,True
243,12738,8,1,155.35,0,5,1,1,511,Recent Customers,False
244,12739,21,2,1713.69,0,4,2,4,424,Potential Loyalists,False
245,12741,165,2,406.07,1,2,2,2,222,At Risk,True
246,12742,261,1,1201.52,1,1,1,4,114,Others,True
247,12744,95,4,4037.77,0,2,4,5,245,At Risk,True
248,12745,122,3,925.41,0,2,3,3,233,At Risk,True
249,12746,176,1,254.55,1,2,1,2,212,Hibernating,True
250,12747,5,16,5061.03,0,5,5,5,555,Champions,False
251,12748,1,144,22457.9,3,5,5,5,555,Champions,False
252,12749,35,4,2806.48,0,4,4,5,445,Champions,False
253,12751,80,1,268.27,0,2,1,2,212,Hibernating,False
254,12755,1,10,5218.709999999999,0,5,5,5,555,Champions,False
255,12758,95,5,7111.650000000001,0,2,4,5,245,At Risk,True
256,12759,22,5,3489.3,0,4,4,5,445,Champions,False
257,12760,91,1,347.8,0,2,1,2,212,Hibernating,True
258,12761,93,2,782.95,0,2,2,3,223,At Risk,True
259,12763,5,1,320.08,0,5,1,2,512,Recent Customers,False
260,12765,108,6,1404.58,0,2,4,4,244,At Risk,True
261,12766,2,3,3078.65,0,5,3,5,535,Potential Loyalists,False
262,12767,11,1,949.82,0,5,1,3,513,Recent Customers,False
263,12768,86,1,168.69000000000003,0,2,1,1,211,Hibernating,False
264,12770,92,1,1895.0,0,2,1,4,214,Others,True
265,12771,121,1,282.3,0,2,1,2,212,Hibernating,True
266,12773,200,1,124.25,1,1,1,1,111,Hibernating,True
267,12774,171,1,98.7,1,2,1,1,211,Hibernating,True
268,12775,24,2,300.08,0,4,2,2,422,Potential Loyalists,False
269,12776,303,1,55.5,1,1,1,1,111,Hibernating,True
270,12777,93,1,519.45,0,2,1,3,213,Others,True
271,12778,32,3,953.45,0,4,3,3,433,Potential Loyalists,False
272,12779,7,7,2740.91,0,5,5,5,555,Champions,False
273,12780,234,1,337.4,1,1,1,2,112,Hibernating,True
274,12782,10,6,2287.32,0,5,4,5,545,Champions,False
275,12784,165,1,1230.33,1,2,1,4,214,Others,True
276,12785,171,2,788.45,1,2,2,3,223,At Risk,True
277,12786,245,1,728.5,1,1,1,3,113,Others,True
278,12787,49,1,398.52,0,3,1,2,312,Promising,False
279,12788,99,4,444.9,0,2,4,2,242,At Risk,True
280,12789,148,2,181.5,1,2,2,1,221,Hibernating,True
281,12790,46,1,266.93,0,3,1,2,312,Promising,False
282,12791,9,6,863.51,0,5,4,3,543,Loyal Customers,False
283,12792,170,1,426.47,1,2,1,2,212,Hibernating,True
284,12793,7,2,471.85,0,5,2,2,522,Potential Loyalists,False
285,12796,264,1,381.0,1,1,1,2,112,Hibernating,True
286,12797,1,2,552.08,0,5,2,3,523,Potential Loyalists,False
287,12798,57,1,1533.8899999999999,0,3,1,4,314,Promising,False
288,12799,165,1,219.35,1,2,1,1,211,Hibernating,True
289,12800,106,3,584.25,0,2,3,3,233,At Risk,True
290,12801,136,1,1071.82,0,2,1,4,214,Others,True
291,12802,78,6,1988.84,0,2,4,4,244,At Risk,False
292,12803,29,1,1092.81,0,4,1,4,414,Recent Customers,False
293,12804,101,2,325.37,0,2,2,2,222,At Risk,True
294,12805,17,4,1434.95,0,4,4,4,444,Champions,False
295,12806,71,4,2878.96,0,3,4,5,345,Loyal Customers,False
296,12807,19,1,330.35,0,4,1,2,412,Recent Customers,False
297,12808,4,3,422.45,0,5,3,2,532,Potential Loyalists,False
298,12809,201,2,1266.63,1,1,2,4,124,At Risk,True
299,12810,170,2,534.99,1,2,2,3,223,At Risk,True
300,12811,14,2,519.05,0,5,2,3,523,Potential Loyalists,False
301,12813,137,3,1687.8,0,2,3,4,234,At Risk,True
302,12817,35,2,524.94,0,4,2,3,423,Potential Loyalists,False
303,12819,94,1,540.52,0,2,1,3,213,Others,True
304,12820,33,7,1747.18,0,4,5,4,454,Champions,False
305,12821,247,1,128.07999999999998,1,1,1,1,111,Hibernating,True
306,12823,30,13,4742.0,0,4,5,5,455,Champions,False
307,12825,157,2,518.63,1,2,2,3,223,At Risk,True
308,12826,1,6,1481.03,0,5,4,4,544,Champions,False
309,12829,186,1,92.30000000000001,1,1,1,1,111,Hibernating,True
310,12831,99,2,236.06,0,2,2,1,221,Hibernating,True
311,12835,63,41,5996.83,3,3,5,5,355,Loyal Customers,False
312,12836,25,11,3949.37,0,4,5,5,455,Champions,False
313,12837,205,1,528.5600000000001,1,1,1,3,113,Others,True
314,12838,9,9,2694.75,0,5,5,5,555,Champions,False
315,12839,3,13,4480.31,0,5,5,5,555,Champions,False
316,12840,73,3,1315.2,0,2,3,4,234,At Risk,False
317,12841,5,17,3472.61,0,5,5,5,555,Champions,False
318,12842,40,2,799.0,0,3,2,3,323,Potential Loyalists,False
319,12843,18,22,4881.1,0,4,5,5,455,Champions,False
320,12844,78,2,322.64,0,2,2,2,222,At Risk,False
321,12846,318,1,15.58,1,1,1,1,111,Hibernating,True
322,12847,23,1,765.36,0,4,1,3,413,Recent Customers,False
323,12848,311,1,208.0,1,1,1,1,111,Hibernating,True
324,12849,17,4,2032.18,0,4,4,4,444,Champions,False
325,12850,81,1,330.0,0,2,1,2,212,Hibernating,False
326,12851,113,1,148.95,0,2,1,1,211,Hibernating,True
327,12853,63,5,1950.4,0,3,4,4,344,Loyal Customers,False
328,12854,197,4,1654.72,1,1,4,4,144,At Risk,True
329,12855,8,4,612.84,0,5,4,3,543,Loyal Customers,False
330,12857,72,4,2581.6,0,2,4,5,245,At Risk,False
331,12858,19,1,147.27,0,4,1,1,411,Recent Customers,False
332,12859,94,1,575.1,0,2,1,3,213,Others,True
333,12860,329,1,54.22,1,1,1,1,111,Hibernating,True
334,12861,255,1,68.25,1,1,1,1,111,Hibernating,True
335,12862,61,2,984.62,0,3,2,3,323,Potential Loyalists,False
336,12863,15,5,2271.35,0,5,4,5,545,Champions,False
337,12864,144,1,152.45,1,2,1,1,211,Hibernating,True
338,12865,14,2,1755.24,0,5,2,4,524,Potential Loyalists,False
339,12866,110,2,668.23,0,2,2,3,223,At Risk,True
340,12867,33,6,3819.92,0,4,4,5,445,Champions,False
341,12868,9,3,640.0,0,5,3,3,533,Potential Loyalists,False
342,12869,317,1,337.66999999999996,1,1,1,2,112,Hibernating,True
343,12870,11,3,1676.95,0,5,3,4,534,Potential Loyalists,False
344,12871,75,1,363.38,0,2,1,2,212,Hibernating,False
345,12872,1,11,3062.52,0,5,5,5,555,Champions,False
346,12873,33,2,1653.3,0,4,2,4,424,Potential Loyalists,False
347,12874,21,2,948.42,0,4,2,3,423,Potential Loyalists,False
348,12875,107,3,1013.76,0,2,3,4,234,At Risk,True
349,12876,30,2,1863.77,0,4,2,4,424,Potential Loyalists,False
350,12877,37,8,1406.3700000000001,0,3,5,4,354,Loyal Customers,False
351,12880,17,2,640.13,0,4,2,3,423,Potential Loyalists,False
352,12887,19,1,222.4,0,4,1,1,411,Recent Customers,False
353,12889,17,4,385.46000000000004,0,4,4,2,442,Loyal Customers,False
354,12890,23,1,329.3,0,4,1,2,412,Recent Customers,False
355,12891,94,8,509.5,0,2,5,3,253,At Risk,True
356,12892,32,1,263.38,0,4,1,2,412,Recent Customers,False
357,12894,211,1,157.35,1,1,1,1,111,Hibernating,True
358,12897,17,2,297.75,0,4,2,2,422,Potential Loyalists,False
359,12898,99,2,296.21000000000004,0,2,2,2,222,At Risk,True
360,12899,49,1,366.4,0,3,1,2,312,Promising,False
361,12900,58,1,340.33,0,3,1,2,312,Promising,False
362,12903,64,1,833.53,0,3,1,3,313,Promising,False
363,12905,212,2,1018.42,1,1,2,4,124,At Risk,True
364,12907,31,2,508.91,0,4,2,3,423,Potential Loyalists,False
365,12908,16,3,1026.0,0,4,3,4,434,Potential Loyalists,False
366,12909,60,3,924.52,0,3,3,3,333,Potential Loyalists,False
367,12910,15,5,2721.48,0,5,4,5,545,Champions,False
368,12911,187,1,1651.72,1,1,1,4,114,Others,True
369,12913,4,9,4217.2300000000005,0,5,5,5,555,Champions,False
370,12914,36,1,223.98,0,4,1,1,411,Recent Customers,False
371,12915,8,3,811.1,0,5,3,3,533,Potential Loyalists,False
372,12916,78,3,1534.78,0,2,3,4,234,At Risk,False
373,12917,36,5,3765.2,0,4,4,5,445,Champions,False
374,12918,262,1,10953.5,1,1,1,5,115,Others,True
375,12920,207,3,323.86,1,1,3,2,132,At Risk,True
376,12921,2,39,19333.95,3,5,5,5,555,Champions,False
377,12923,26,2,597.6,0,4,2,3,423,Potential Loyalists,False
378,12924,29,8,1535.7,0,4,5,4,454,Champions,False
379,12925,228,1,35.28,1,1,1,1,111,Hibernating,True
380,12926,47,4,1523.97,0,3,4,4,344,Loyal Customers,False
381,12927,30,1,197.31,0,4,1,1,411,Recent Customers,False
382,12928,14,7,2242.19,0,5,5,5,555,Champions,False
383,12931,16,42,50291.38,3,4,5,5,455,Champions,False
384,12932,175,8,1698.56,1,2,5,4,254,At Risk,True
385,12933,16,5,1029.1,0,4,4,4,444,Champions,False
386,12934,372,1,181.65,1,1,1,1,111,Hibernating,True
387,12935,11,8,2083.16,0,5,5,4,554,Champions,False
388,12937,99,5,1593.34,0,2,4,4,244,At Risk,True
389,12939,15,12,13683.0,0,5,5,5,555,Champions,False
390,12941,360,1,377.49,1,1,1,2,112,Hibernating,True
391,12942,1,1,258.75,0,5,1,2,512,Recent Customers,False
392,12943,194,2,496.5,1,1,2,2,122,At Risk,True
393,12945,292,1,437.16,1,1,1,2,112,Hibernating,True
394,12946,72,1,324.45,0,2,1,2,212,Hibernating,False
395,12947,9,1,304.04,0,5,1,2,512,Recent Customers,False
396,12948,366,2,252.48000000000002,1,1,2,2,122,At Risk,True
397,12949,18,14,11359.48,0,4,5,5,455,Champions,False
398,12951,22,9,2149.65,0,4,5,5,455,Champions,False
399,12953,158,1,498.96000000000004,1,2,1,3,213,Others,True
400,12954,274,1,162.45,1,1,1,1,111,Hibernating,True
401,12956,320,3,413.82,1,1,3,2,132,At Risk,True
402,12957,177,5,4689.43,1,1,4,5,145,At Risk,True
403,12958,36,2,467.34,0,4,2,2,422,Potential Loyalists,False
404,12959,120,1,150.95,0,2,1,1,211,Hibernating,True
405,12960,49,4,1322.07,0,3,4,4,344,Loyal Customers,False
406,12961,15,1,211.99,0,5,1,1,511,Recent Customers,False
407,12963,1,5,1744.96,0,5,4,4,544,Champions,False
408,12964,73,1,132.24,0,2,1,1,211,Hibernating,False
409,12967,7,2,2646.02,0,5,2,5,525,Potential Loyalists,False
410,12969,238,1,122.45,1,1,1,1,111,Hibernating,True
411,12970,16,6,1048.13,0,4,4,4,444,Champions,False
412,12971,2,33,4782.88,3,5,5,5,555,Champions,False
413,12972,49,4,1161.2,0,3,4,4,344,Loyal Customers,False
414,12973,49,1,385.55,0,3,1,2,312,Promising,False
415,12974,201,1,264.15,1,1,1,2,112,Hibernating,True
416,12975,72,6,2100.09,0,2,4,4,244,At Risk,False
417,12976,14,7,2417.7799999999997,0,5,5,5,555,Champions,False
418,12977,137,3,474.64,0,2,3,2,232,At Risk,True
419,12978,21,5,2502.82,0,4,4,5,445,Champions,False
420,12979,365,1,517.7,1,1,1,3,113,Others,True
421,12980,22,12,8870.880000000001,0,4,5,5,455,Champions,False
422,12982,30,7,2354.27,0,4,5,5,455,Champions,False
423,12983,234,1,490.08000000000004,1,1,1,2,112,Hibernating,True
424,12986,64,10,2729.84,0,3,5,5,355,Loyal Customers,False
425,12987,56,3,753.51,0,3,3,3,333,Potential Loyalists,False
426,12989,60,18,6627.64,0,3,5,5,355,Loyal Customers,False
427,12990,53,4,546.0,0,3,4,3,343,Loyal Customers,False
428,12991,25,1,261.06,0,4,1,2,412,Recent Customers,False
429,12992,361,1,93.35000000000001,1,1,1,1,111,Hibernating,True
430,12993,81,4,844.87,0,2,4,3,243,At Risk,False
431,12996,11,1,355.5,0,5,1,2,512,Recent Customers,False
432,12997,30,4,884.02,0,4,4,3,443,Loyal Customers,False
433,12998,128,3,920.08,0,2,3,3,233,At Risk,True
434,13000,361,1,497.65000000000003,1,1,1,2,112,Hibernating,True
435,13001,40,20,14256.68,0,3,5,5,355,Loyal Customers,False
436,13002,52,2,293.18,0,3,2,2,322,Potential Loyalists,False
437,13004,22,18,5994.94,0,4,5,5,455,Champions,False
